Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-06-15,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 25 - Build volume
Monday,2026-06-15,06:00,Strength,PUSH + CORE,30,PUSH + CORE,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-06-16,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-06-16,06:00,Run,Trail Hills,65,10km trail hills,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-06-17,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-06-17,06:00,Run,Tempo Run,55,9km tempo 20min,Zone 3,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-18,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-06-18,06:00,Bike,Sweet Spot,90,Sweet spot 3x12min,Zone 3-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-18,After bike,Strength,PULL,30,PULL,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-06-19,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-06-19,06:00,Strength,LEGS,30,LEGS,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-06-20,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-06-20,07:00,Bike,Long Ride + Hills,115,Long ride + hills,Zone 2-3,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-06-21,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-06-21,07:00,Run,Long Trail Run,90,15km long trail run,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~86 km
Run: 34 km
Strength: 3 sessions
Mobility: 7 sessions
Total Training: ~9.9 hours

WEEK FOCUS: Building volume back up. Hill work and sweet spot sessions.
