Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-08-03,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 32 - Mini-taper
Monday,2026-08-03,06:00,Strength,Light Work,25,Light work,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-08-04,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-08-04,06:00,Run,Easy + Strides,45,7km easy + strides,Zone 2,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-08-05,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-08-05,06:00,Run,Tempo Hills,50,8km tempo with hills,Zone 3,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-08-06,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-08-06,06:00,Bike,Easy + Openers,65,Easy + race power touches,Zone 2-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-08-07,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-08-07,-,Rest,Active Recovery,0,Active recovery,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-08-08,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-08-08,07:00,Bike,Easy Endurance,75,Easy endurance,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-08-09,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-08-09,07:00,Run,Easy Run,55,9km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~60 km
Run: 24 km
Strength: 1 sessions
Mobility: 7 sessions
Total Training: ~6.8 hours

WEEK FOCUS: Mini-taper for Hradec Kralove. Stay sharp, stay fresh.
