Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-03-30,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,RECOVERY WEEK
Monday,2026-03-30,06:00,Strength,PUSH + CORE Light,35,Lighter weights,Light,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-03-31,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-03-31,06:00,Swim,Easy Swim,55,"WU 200m, Easy 1200m, CD 200m",Zone 1-2,No paddles,Toast + honey,Full breakfast,Total: 1800m
Wednesday,2026-04-01,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-04-01,06:00,Run,Easy Recovery,45,7km very easy,Zone 1-2,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-04-02,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-04-02,06:00,Bike,Easy Endurance,60,Easy spin,Zone 2,Tacx trainer,Toast + honey,Full breakfast,
Friday,2026-04-03,05:30,Mobility,Morning Espresso,20,Extended with foam rolling,Easy,Mat roller,Coffee,N/A,
Friday,2026-04-03,REST,Rest,Active Recovery,0,Mobility only,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-04-04,06:00,Strength,LEGS Light,35,Lighter weights,Light,Dumbbells,Toast + honey,Full breakfast,
Sunday,2026-04-05,07:00,Bike,Easy + Brick,70,Easy ride,Zone 1-2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-04-05,After bike,Run,Easy Brick,30,6km easy,Zone 1-2,Running shoes,N/A,Recovery meal,

WEEKLY TOTALS:
Swim: 1.8 km
Bike: ~60 km
Run: 13 km
Strength: 2 sessions (lighter)
Mobility: 6 sessions
Total Training: ~6.5 hours

WEEK FOCUS: RECOVERY WEEK - Mid-progression phase recovery.
