Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-06-29,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 27 - Taper for Vitoria
Monday,2026-06-29,06:00,Strength,PUSH + CORE,25,PUSH + CORE light,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-06-30,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-06-30,06:00,Run,Tempo Hills,55,8km tempo with hills,Zone 3,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-07-01,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-07-01,06:00,Run,Race Pace Run,50,8km race pace,Zone 2-4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-02,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-07-02,06:00,Bike,Race Pace Intervals,75,Race pace intervals 4x8min,Zone 3-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-07-03,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-07-03,06:00,Strength,LEGS,25,LEGS light,Light,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-07-04,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-07-04,07:00,Bike,Long Ride,90,Moderate long ride,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-07-05,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-07-05,07:00,Run,Easy Run,65,10km easy,Zone 2,Running shoes,Full breakfast 2h before,Recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~70 km
Run: 26 km
Strength: 2 sessions
Mobility: 7 sessions
Total Training: ~7.9 hours

WEEK FOCUS: Taper for Vitoria-Gasteiz. Maintain sharpness, reduce volume.
