Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-03-02,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Peak initial volume
Monday,2026-03-02,06:00,Strength,PUSH + CORE,45,"Push-ups, DB press, Core circuit",Moderate,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-03-03,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-03-03,06:00,Swim,Threshold Sets,70,"WU 300m, Main 5x400m @ CSS+5, CD 300m",Zone 2-3,Paddles optional,Toast + honey,Full breakfast,Total: 2700m
Wednesday,2026-03-04,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-03-04,06:00,Run,Easy Aerobic,65,10km easy,Zone 2,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-03-05,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-03-05,06:00,Bike,ROUVY + Hills,100,Aerobic with hills,Zone 2-3,Tacx trainer,Toast + honey,Full breakfast,
Thursday,2026-03-05,After bike,Strength,PULL,35,"Dead hangs, Rows, Face pulls",Moderate,Bands dumbbells,N/A,Full breakfast,
Friday,2026-03-06,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-03-06,06:00,Strength,LEGS,40,"Squats, RDL, Lunges, Step-ups",Moderate,Dumbbells,Toast + honey,Full breakfast,
Saturday,2026-03-07,07:00,Bike,Long Endurance,120,Long ride,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-03-08,07:00,Run,Long Run,95,15km long run,Zone 1-2,Running shoes,Full breakfast 2h before,Large recovery meal,Last week of initial phase

WEEKLY TOTALS:
Swim: 2.7 km
Bike: ~94 km
Run: 25 km
Strength: 3 sessions
Mobility: 6 sessions
Total Training: ~10.0 hours

WEEK FOCUS: Peak initial phase volume. Prepare for progression phase.
