Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-02-23,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,RECOVERY WEEK
Monday,2026-02-23,06:00,Strength,PUSH + CORE Light,35,Lighter weights,Light,Dumbbells bands,Toast + honey,Protein shake + banana,
Tuesday,2026-02-24,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-02-24,06:00,Swim,Easy Technique,50,"WU 200m, Drills 6x50m, Easy 900m, CD 200m",Zone 1-2,No paddles,Toast + honey,Full breakfast,Total: 1600m
Wednesday,2026-02-25,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-02-25,06:00,Run,Easy Recovery,40,6km very easy,Zone 1-2,Running shoes,Toast + honey,Full breakfast,
Thursday,2026-02-26,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-02-26,06:00,Bike,Easy ROUVY,55,Easy spin,Zone 2,Tacx trainer,Toast + honey,Full breakfast,
Friday,2026-02-27,05:30,Mobility,Morning Espresso,20,Extended with foam rolling,Easy,Mat roller,Coffee,N/A,
Friday,2026-02-27,REST,Rest,Active Recovery,0,Mobility only,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-02-28,06:00,Strength,LEGS Light,35,Lighter weights,Light,Dumbbells,Toast + honey,Full breakfast,
Sunday,2026-03-01,07:00,Bike,Easy Endurance + Brick,65,Easy ride,Zone 1-2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-03-01,After bike,Run,Easy Brick,25,5km easy,Zone 1-2,Running shoes,N/A,Recovery meal,

WEEKLY TOTALS:
Swim: 1.6 km
Bike: ~50 km
Run: 11 km
Strength: 2 sessions (lighter)
Mobility: 6 sessions
Total Training: ~5.5 hours

WEEK FOCUS: RECOVERY WEEK - Absorb fitness before peak initial phase.

