Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-07-13,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,Week 29 - POST-VITORIA RECOVERY
Monday,2026-07-13,-,Rest,Complete Rest,0,Complete rest,Recovery,N/A,Normal meals,Normal meals,
Tuesday,2026-07-14,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Tuesday,2026-07-14,06:00,Walk,Easy Walk,30,Easy walk,Zone 1,N/A,Normal meals,Normal meals,
Wednesday,2026-07-15,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Wednesday,2026-07-15,06:00,Run,Recovery Jog,30,4km very easy jog,Zone 1,Running shoes,Normal meals,Normal meals,
Thursday,2026-07-16,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Thursday,2026-07-16,06:00,Bike,Easy Spin,40,Very easy spin,Zone 1,Tacx or road,Normal meals,Normal meals,
Friday,2026-07-17,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Friday,2026-07-17,-,Rest,Rest,0,Rest,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-07-18,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Saturday,2026-07-18,07:00,Run,Easy Run,35,5km easy,Zone 1,Running shoes,Normal meals,Normal meals,
Sunday,2026-07-19,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Sunday,2026-07-19,07:00,Bike,Easy Endurance,50,Easy endurance,Zone 1-2,Tacx or road,Normal meals,Normal meals,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~35 km
Run: 9 km
Strength: 0 sessions
Mobility: 7 sessions
Total Training: ~4.8 hours

WEEK FOCUS: Post-Vitoria recovery. Complete rest and gentle return to movement.
