Week,Phase,Date,Day,Morning_Mobility,Main_Session,Main_Duration,Main_Details,Secondary_Session,Secondary_Duration,Secondary_Details,Intensity,Nutrition_Pre,Nutrition_Post,Swim_km,Bike_km,Run_km,Weekly_Swim_Total,Weekly_Bike_Total,Weekly_Run_Total,Notes
1,Intro,2026-01-02,Friday,15 min - hips ankles hamstrings,SWIM,50,1500m easy technique focus,,,Zone 2,Toast + honey + coffee,Full breakfast,1.5,0,0,1.5,0,0,Week 1 - INTRO WEEK (3 days only)
1,Intro,2026-01-03,Saturday,10 min - quick version,BIKE,75,Long endurance - ROUVY or outdoor,,,Zone 2,Full breakfast 2h before,Recovery meal,0,30,0,1.5,30,0,
1,Intro,2026-01-04,Sunday,10 min - quick version,RUN,60,8km easy + strength,STRENGTH,30,Full body intro,Zone 1-2,Full breakfast 2h before,Large recovery meal,0,0,8,1.5,30,8,Ready to crush it from Monday!
2,Initial,2026-01-05,Monday,15 min - hips ankles hamstrings,STRENGTH,45,PUSH + CORE,,,Moderate,Toast + honey + coffee,Protein shake + banana,0,0,0,0,0,0,Week 2 - First full training week
2,Initial,2026-01-06,Tuesday,10 min - quick version,SWIM,60,1800m - Drill and Build,,,Zone 2,Toast + honey + coffee,Full breakfast,1.8,0,0,1.8,0,0,Focus on catch phase
2,Initial,2026-01-07,Wednesday,15 min - standard routine,RUN,50,7km easy aerobic,,,Zone 2,Toast + honey + coffee,Full breakfast,0,0,7,1.8,0,7,HR 130-145
2,Initial,2026-01-08,Thursday,10 min - quick version,BIKE,75,ROUVY Climber Plan,STRENGTH,30,PULL,Zone 2-3,Toast + honey + coffee,Full breakfast,0,28,0,1.8,28,7,
2,Initial,2026-01-09,Friday,20 min - extended,STRENGTH,40,LEGS,,,Moderate,Toast + honey + coffee,Full breakfast,0,0,0,1.8,28,7,
2,Initial,2026-01-10,Saturday,10 min - quick version,BIKE,80,Long endurance,,,Zone 2,Full breakfast 2h before,Recovery meal,0,32,0,1.8,60,7,
2,Initial,2026-01-11,Sunday,10 min - quick version,RUN,70,10km long run,,,Zone 1-2,Full breakfast 2h before,Large recovery meal,0,0,10,1.8,60,17,Building time on feet
