Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-08-10,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 33 - RACE WEEK Hradec
Monday,2026-08-10,06:00,Strength,Core Only,25,Core only,Light,Barbell dumbbells bench,Toast + honey + coffee,Normal meal,
Tuesday,2026-08-11,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-08-11,06:00,Swim,Easy Openers,35,1000m easy openers,Zone 2,Pool,Toast + honey + coffee,Normal meal,Race prep swim
Wednesday,2026-08-12,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-08-12,06:00,Run,Easy + Strides,25,4km easy + strides,Zone 2,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-08-13,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-08-13,06:00,Bike,Easy + Openers,40,Easy spin + openers,Zone 2-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-08-14,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-08-14,-,Rest,Complete Rest,0,Complete rest,Recovery,N/A,Carb loading,Carb loading,
Saturday,2026-08-15,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-08-15,07:00,Swim,Easy Openers,20,Easy openers,Zone 1-2,Pool,Carb loading,Carb loading,
Saturday,2026-08-15,After swim,Bike,Easy Spin,15,Easy spin,Zone 1-2,Tacx or road,N/A,Carb loading,Shake out
Sunday,2026-08-16,05:30,Mobility,Morning Espresso,10,Pre-race routine,Easy,Mat,Coffee,N/A,
Sunday,2026-08-16,07:00,Race,HRADEC KRALOVE HALF IRONMAN,270,HRADEC KRALOVE HALF IRONMAN,Race,Race kit,Race breakfast 3h before,Race nutrition,FINAL RACE!

WEEKLY TOTALS:
Swim: 3.3 km
Bike: ~118 km
Run: 25 km
Strength: 1 sessions
Mobility: 7 sessions
Total Training: ~8.7 hours

WEEK FOCUS: RACE WEEK - Hradec Kralove Half Ironman. Final race of the season!
