Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-07-06,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 28 - RACE WEEK Vitoria
Monday,2026-07-06,06:00,Strength,Core Only,25,Core only,Light,Barbell dumbbells bench,Toast + honey + coffee,Normal meal,
Tuesday,2026-07-07,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-07-07,06:00,Swim,Easy Openers,40,1200m easy openers,Zone 2,Pool,Toast + honey + coffee,Full breakfast,Race prep swim
Wednesday,2026-07-08,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-07-08,06:00,Run,Easy + Strides,30,5km easy + strides,Zone 2,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-09,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-07-09,06:00,Bike,Easy + Openers,45,Easy spin + openers,Zone 2-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-07-10,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-07-10,-,Rest,Travel Day,0,Travel to Vitoria,Recovery,N/A,Carb loading,Carb loading,
Saturday,2026-07-11,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-07-11,07:00,Swim,Easy Openers,25,Easy openers,Zone 1-2,Pool,Carb loading,Carb loading,
Saturday,2026-07-11,After swim,Bike,Easy Spin,15,Easy spin,Zone 1-2,Tacx or road,N/A,Carb loading,Shake out
Sunday,2026-07-12,05:30,Mobility,Morning Espresso,10,Pre-race routine,Easy,Mat,Coffee,N/A,
Sunday,2026-07-12,07:00,Race,VITORIA-GASTEIZ HALF IRONMAN,300,VITORIA-GASTEIZ HALF IRONMAN,Race,Race kit,Race breakfast 3h before,Race nutrition,A RACE!

WEEKLY TOTALS:
Swim: 3.6 km
Bike: ~120 km
Run: 26 km
Strength: 1 sessions
Mobility: 7 sessions
Total Training: ~9.5 hours

WEEK FOCUS: RACE WEEK - Vitoria-Gasteiz Half Ironman. A race!
