Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-05-04,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 19 - TAPER begins
Monday,2026-05-04,06:00,Strength,PUSH + CORE,30,PUSH + CORE,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-05-05,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-05-05,06:00,Run,Tempo Hills,55,8km tempo with hills,Zone 3,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-05-06,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-05-06,06:00,Run,Race Pace Segments,50,8km with race pace segments,Zone 2-4,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-05-07,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-05-07,06:00,Bike,Race Pace Intervals,80,Race pace intervals 4x8min,Zone 3-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-05-08,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-05-08,06:00,Strength,LEGS,25,LEGS light,Light,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-05-09,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-05-09,07:00,Bike,Long Ride,100,Moderate long ride,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-05-10,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-05-10,07:00,Run,Last Long Run,75,12km - last long run,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~77 km
Run: 28 km
Strength: 2 sessions
Mobility: 7 sessions
Total Training: ~8.4 hours

WEEK FOCUS: Taper begins. Maintain intensity, reduce volume for Grizzlyman.
