Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-06-01,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 23 - RACE WEEK Czechman
Monday,2026-06-01,06:00,Strength,Light Full Body,25,Light full body,Light,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-06-02,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-06-02,06:00,Swim,Easy Technique,40,1200m easy technique,Zone 1-2,Pool,Toast + honey + coffee,Full breakfast,Race prep swim
Wednesday,2026-06-03,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-06-03,06:00,Run,Easy Run,35,5km easy,Zone 1-2,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-06-04,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-06-04,06:00,Bike,Easy + Openers,50,Easy + openers,Zone 2,Tacx or road,Toast + honey + coffee,Full breakfast,
Friday,2026-06-05,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-06-05,-,Rest,Rest,0,Rest before race,Recovery,N/A,Carb loading,Carb loading,
Saturday,2026-06-06,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-06-06,07:00,Swim,Easy Openers,20,Easy openers,Zone 1-2,Pool,Carb loading,Carb loading,
Saturday,2026-06-06,After swim,Bike,Easy Spin,15,Easy spin,Zone 1-2,Tacx or road,N/A,Carb loading,Shake out
Sunday,2026-06-07,05:30,Mobility,Morning Espresso,10,Pre-race routine,Easy,Mat,Coffee,N/A,
Sunday,2026-06-07,07:00,Race,CZECHMAN HALF IRONMAN,270,CZECHMAN HALF IRONMAN,Race,Race kit,Race breakfast 3h before,Race nutrition,B RACE

WEEKLY TOTALS:
Swim: 3.5 km
Bike: ~120 km
Run: 26 km
Strength: 1 sessions
Mobility: 7 sessions
Total Training: ~9.1 hours

WEEK FOCUS: RACE WEEK - Czechman Half Ironman. B race, execute smart.
