Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-05-25,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,Week 22 - POST-RACE RECOVERY
Monday,2026-05-25,-,Rest,Complete Rest,0,Complete rest,Recovery,N/A,Normal meals,Normal meals,
Tuesday,2026-05-26,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Tuesday,2026-05-26,06:00,Walk,Easy Walk,30,Easy walk,Zone 1,N/A,Normal meals,Normal meals,
Wednesday,2026-05-27,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Wednesday,2026-05-27,06:00,Run,Recovery Jog,30,4km very easy jog,Zone 1,Running shoes,Normal meals,Normal meals,
Thursday,2026-05-28,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Thursday,2026-05-28,06:00,Bike,Easy Spin,40,Very easy spin,Zone 1,Tacx or road,Normal meals,Normal meals,
Friday,2026-05-29,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Friday,2026-05-29,-,Rest,Rest,0,Rest,Recovery,N/A,Normal meals,Normal meals,
Saturday,2026-05-30,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Saturday,2026-05-30,07:00,Run,Easy Run,35,5km easy,Zone 1,Running shoes,Normal meals,Normal meals,
Sunday,2026-05-31,05:30,Mobility,Morning Espresso,15,Gentle version,Easy,Mat,Coffee,N/A,
Sunday,2026-05-31,07:00,Bike,Easy Endurance,50,Easy endurance,Zone 1-2,Tacx or road,Normal meals,Normal meals,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~35 km
Run: 9 km
Strength: 0 sessions
Mobility: 7 sessions
Total Training: ~4.8 hours

WEEK FOCUS: Post-race recovery. Gentle movement only, let the body heal.
