Day,Date,Time,Session_Type,Session_Name,Duration,Details,Zone,Equipment,Nutrition_Pre,Nutrition_Post,Notes
Monday,2026-07-27,05:30,Mobility,Morning Espresso,15,Ankles hips hamstrings,Easy,Mat,Coffee,N/A,Week 31 - Build for Hradec
Monday,2026-07-27,06:00,Strength,PUSH + CORE,30,PUSH + CORE,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Protein shake + banana,
Tuesday,2026-07-28,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Tuesday,2026-07-28,06:00,Run,Trail Hills,65,10km trail hills,Zone 3-4,Running shoes,Toast + honey + coffee,Full breakfast,
Wednesday,2026-07-29,05:30,Mobility,Morning Espresso,15,Standard routine,Easy,Mat,Coffee,N/A,
Wednesday,2026-07-29,06:00,Run,Tempo Run,55,9km tempo 20min,Zone 3,Running shoes,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-30,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Thursday,2026-07-30,06:00,Bike,Sweet Spot,85,Sweet spot 3x10min,Zone 3-4,Tacx or road,Toast + honey + coffee,Full breakfast,
Thursday,2026-07-30,After bike,Strength,PULL,30,PULL,Moderate,Barbell dumbbells bench,N/A,Full breakfast,
Friday,2026-07-31,05:30,Mobility,Morning Espresso,20,Extended version,Easy,Mat roller,Coffee,N/A,
Friday,2026-07-31,06:00,Strength,LEGS,30,LEGS,Moderate,Barbell dumbbells bench,Toast + honey + coffee,Full breakfast,
Saturday,2026-08-01,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Saturday,2026-08-01,07:00,Bike,Long Endurance,100,Long endurance,Zone 2,Tacx or road,Full breakfast 2h before,Recovery meal,
Sunday,2026-08-02,05:30,Mobility,Morning Espresso,10,Quick version,Easy,Mat,Coffee,N/A,
Sunday,2026-08-02,07:00,Run,Long Trail Run,80,15km long trail run,Zone 2,Running shoes,Full breakfast 2h before,Large recovery meal,

WEEKLY TOTALS:
Swim: 0 km
Bike: ~77 km
Run: 34 km
Strength: 3 sessions
Mobility: 7 sessions
Total Training: ~9.4 hours

WEEK FOCUS: Build for Hradec Kralove. Volume and intensity building.
